ID,ResponseAS,Tags,DC,ENGLISH,GERMAN,FRENCH
159,INT,Language,9,"Fôrtvivlad - mot nain. Signifie : désespoir, angoisse, hystérie née de la douleur mentale.",,"Fôrtvivlad - mot nain. Signifie : désespoir, angoisse, hystérie née de la douleur mentale."
160,CHA,"Language
",8,RÔSTKORT - signifie carte de vote en nain askanii raffiné.,,RÔSTKORT - signifie carte de vote en nain askanii raffiné.
161,CHA,Politics,13,Parti de la Magie - ça a l'air sacrément amusant.,,Parti de la Magie - ça a l'air sacrément amusant.
162,INT,History,9,Arcaniste - les magocrates qui régnaient sur les civilisations humaines d'avant-guerre dans le Vieux Diminor. Aussi un très petit parti politique à Norvik.,,Arcaniste - les magocrates qui régnaient sur les civilisations humaines d'avant-guerre dans le Vieux Diminor. Aussi un très petit parti politique à Norvik.
163,CON,History,8,Agrarien - ceux qui vivent de la terre. Simples fermiers. Gens du sol. L'argile commune des champs askanii. Leur mouvement politique a surtout été avalé par les Azgalistes.,,Agrarien - ceux qui vivent de la terre. Simples fermiers. Gens du sol. L'argile commune des champs askanii. Leur mouvement politique a surtout été avalé par les Azgalistes.
164,INT,History,12,Nimmenberg - arcaniste légendaire qui bâtit les Légions immortelles pendant la Guerre de la Côte. Souvent appelé le père de la nécromancie moderne et de ses nombreuses applications pratiques.,,Nimmenberg - arcaniste légendaire qui bâtit les Légions immortelles pendant la Guerre de la Côte. Souvent appelé le père de la nécromancie moderne et de ses nombreuses applications pratiques.
165,CHA,"Language
",9,"Dagsbôter - nain pour amende journalière. Certains appelleraient ça de l'extorsion légale, mais cela dépend vraiment du district.",,"Dagsbôter - nain pour amende journalière. Certains appelleraient ça de l'extorsion légale, mais cela dépend vraiment du district."
166,INT,Politics,11,Accord d'Yhelgen - série de lois établies aux premiers jours de la colonisation norvikienne.,,Accord d'Yhelgen - série de lois établies aux premiers jours de la colonisation norvikienne.
167,INT,History,16,"Bhan-Emvers - l'une des cinq familles, ou clans, exilées qui formèrent le royaume de surface des pics de Vyz-Kha.",,"Bhan-Emvers - l'une des cinq familles, ou clans, exilées qui formèrent le royaume de surface des pics de Vyz-Kha."
168,CHA,History,13,Bhan-Emvers - l'un des grands clans nains. Ils canalisent des tonnes de Penning vers Norvik.,,Bhan-Emvers - l'un des grands clans nains. Ils canalisent des tonnes de Penning vers Norvik.
169,CHA,Folk,10,"Nain - robuste, petit, poilu, adore creuser et bâtir, tu connais la chanson. Hé. Creuser. Ils ont construit l'essentiel de Norvik et ont une longue histoire avec les Urthfolks.",,"Nain - robuste, petit, poilu, adore creuser et bâtir, tu connais la chanson. Hé. Creuser. Ils ont construit l'essentiel de Norvik et ont une longue histoire avec les Urthfolks."
170,CHA,Folk,9,"Humain - grand et beau, comme toi. Connu comme le ""Fléau de la Côte"" par ceux qui sont moins enclins à se reproduire comme des lapins.",,"Humain - grand et beau, comme toi. Connu comme le ""Fléau de la Côte"" par ceux qui sont moins enclins à se reproduire comme des lapins."
171,CHA,Folk,11,Elfe - effrayants suzerains primaux de la forêt. Rares à Norvik. Mais leurs racines cachées s'étendent partout en Askan.,,Elfe - effrayants suzerains primaux de la forêt. Rares à Norvik. Mais leurs racines cachées s'étendent partout en Askan.
172,CHA,Folk,9,Gobelin - petit et vert. Des griffes et des crocs. Petits monstres. Ils ont trois tribus à Norvik et sont considérés comme plus ou moins civilisés.,,Gobelin - petit et vert. Des griffes et des crocs. Petits monstres. Ils ont trois tribus à Norvik et sont considérés comme plus ou moins civilisés.
173,CHA,Folk,12,Orc - grandes brutes d'origine diabolique. Ils sont rares à Norvik. On en trouve surtout à Fell Tire.,,Orc - grandes brutes d'origine diabolique. Ils sont rares à Norvik. On en trouve surtout à Fell Tire.
174,INT,Nature,15,"Cerf vert - monstruosité née des retombées de la Guerre de la Côte. Produit de l'acide avec ses bois, imite le langage parlé, marche souvent sur ses pattes arrière et se révèle généralement extrêmement mortel. On n'en trouve pas en Askanii, mais ses horreurs sont connues autour de la Côte.",,"Cerf vert - monstruosité née des retombées de la Guerre de la Côte. Produit de l'acide avec ses bois, imite le langage parlé, marche souvent sur ses pattes arrière et se révèle généralement extrêmement mortel. On n'en trouve pas en Askanii, mais ses horreurs sont connues autour de la Côte."
175,CHA,"Politics, City",10,Darrow - l'une des maisons urthfolks originelles à avoir fondé Norvik avec Urth. On trouve encore leur lignée à de hauts postes dans toute la ville.,,Darrow - l'une des maisons urthfolks originelles à avoir fondé Norvik avec Urth. On trouve encore leur lignée à de hauts postes dans toute la ville.
176,INT,Literature,11,"Magazine - publication périodique contenant généralement des nouvelles, des publicités, du journalisme d'enquête et/ou de l'érotisme.",,"Magazine - publication périodique contenant généralement des nouvelles, des publicités, du journalisme d'enquête et/ou de l'érotisme."
177,CHA,Geography,8,"North Wall - l'un des cinq districts de Norvik. Connu comme le district industriel pour ses nombreuses usines bâties le long du fleuve. C'est là que tu vis. Quiconque l'appelle <i>le</i> North Wall n'est probablement pas du coin. Tous les gens cool disent ""North Wall"". Juste ""North Wall"".",,"North Wall - l'un des cinq districts de Norvik. Connu comme le district industriel pour ses nombreuses usines bâties le long du fleuve. C'est là que tu vis. Quiconque l'appelle <i>le</i> North Wall n'est probablement pas du coin. Tous les gens cool disent ""North Wall"". Juste ""North Wall""."
178,WIS,Esoterics,8,Ésotérique - la magie de Jor et de ses fils. La Côte en est imprégnée.,,Ésotérique - la magie de Jor et de ses fils. La Côte en est imprégnée.
179,WIS,Esoterics,16,Ebb - le reflux.,,Ebb - le reflux.
180,CHA,"Language
",11,"Kraek - mot nain pour bêtes inférieures, ou bestioles. Souvent utilisé comme terme méprisant pour les humains.",,"Kraek - mot nain pour bêtes inférieures, ou bestioles. Souvent utilisé comme terme méprisant pour les humains."
181,INT,"Esoterics, History",20,"Iomestra - l'une des apprenties originelles de Jor. On sait peu de choses d'elle, hormis que son symbole, une branche de brachen, est disséminé dans certaines ruines de l'Ère des Portes. Mais tes recherches te l'ont révélé clairement : elle est une ombre en Askan, choisissant de rester cachée. Pourtant son influence se fait sentir partout.",,"Iomestra - l'une des apprenties originelles de Jor. On sait peu de choses d'elle, hormis que son symbole, une branche de brachen, est disséminé dans certaines ruines de l'Ère des Portes. Mais tes recherches te l'ont révélé clairement : elle est une ombre en Askan, choisissant de rester cachée. Pourtant son influence se fait sentir partout."
182,CHA,"Language
",14,"Pimeä - terme péjoratif elfique pour les elfes nomades qui vivent dans la Sous-Côte. Ils n'ont pas eu de vraie civilisation depuis des siècles, il est donc rare de les trouver à la surface. Signifie littéralement ""Sombre"".",,"Pimeä - terme péjoratif elfique pour les elfes nomades qui vivent dans la Sous-Côte. Ils n'ont pas eu de vraie civilisation depuis des siècles, il est donc rare de les trouver à la surface. Signifie littéralement ""Sombre""."
183,INT,Folk,12,"Pimeä - enclaves elfiques qui vivent dans la Sous-Côte. Aussi connues sous le nom d'""elfes noirs"", même si c'est un peu trop évident.",,"Pimeä - enclaves elfiques qui vivent dans la Sous-Côte. Aussi connues sous le nom d'""elfes noirs"", même si c'est un peu trop évident."
184,INT,"Esoterics, Folk",13,Guenaude - lanceuse de sorts centrée sur la communion avec de puissantes forces primales et ésotériques. Toujours féminine. Souvent employée en indépendante. Elles sont très courantes autour de la Côte depuis l'initiative MHR pendant la Guerre de la Côte.,,Guenaude - lanceuse de sorts centrée sur la communion avec de puissantes forces primales et ésotériques. Toujours féminine. Souvent employée en indépendante. Elles sont très courantes autour de la Côte depuis l'initiative MHR pendant la Guerre de la Côte.
185,INT,"Esoterics, History",15,MHR - signifie Recrutement massif de guenaudes. Initiative prise par plusieurs cités-États pendant la Guerre de la Côte pour recruter de force et former de jeunes filles à devenir guenaudes.,,MHR - signifie Recrutement massif de guenaudes. Initiative prise par plusieurs cités-États pendant la Guerre de la Côte pour recruter de force et former de jeunes filles à devenir guenaudes.
186,WIS,Esoterics,12,"Primal - l'un des trois piliers de la magie. Il est représenté dans les forces naturelles, sauvages, féroces et élémentaires de Jor. On ne peut pas les contrôler, seulement négocier avec elles.",,"Primal - l'un des trois piliers de la magie. Il est représenté dans les forces naturelles, sauvages, féroces et élémentaires de Jor. On ne peut pas les contrôler, seulement négocier avec elles."
187,WIS,Esoterics,12,"Divin - l'un des trois piliers de la magie. Il est représenté par le sacré, la foi de tous les peuples, leurs âmes, et il est accordé par les dieux qui marchèrent autrefois parmi nous.",,"Divin - l'un des trois piliers de la magie. Il est représenté par le sacré, la foi de tous les peuples, leurs âmes, et il est accordé par les dieux qui marchèrent autrefois parmi nous."
188,WIS,Esoterics,12,"Arcanique - l'un des trois piliers de la magie. Il est représenté par les forces qui composent tous les événements ésotériques. Ceux qui jouent les Fils de Jor puisent dans ces pouvoirs, programmant les lois de l'existence selon leurs caprices.",,"Arcanique - l'un des trois piliers de la magie. Il est représenté par les forces qui composent tous les événements ésotériques. Ceux qui jouent les Fils de Jor puisent dans ces pouvoirs, programmant les lois de l'existence selon leurs caprices."
189,CHA,Esoterics,50,Parmi nous - hautement suspect.,,Parmi nous - hautement suspect.
190,INT,Geography,6,Les Tours - base de l'Ordre des Clercs arcaniques de Norvik. Aussi connu sous le sigle OACN.,,Les Tours - base de l'Ordre des Clercs arcaniques de Norvik. Aussi connu sous le sigle OACN.
191,CHA,Nature,13,Slogdog - saucisse faite de chutes de viande au goût sauvage. Un classique chez les chasseurs de toute la Côte.,,Slogdog - saucisse faite de chutes de viande au goût sauvage. Un classique chez les chasseurs de toute la Côte.
192,CHA,Esoterics,11,"Alligator Picker - jeu d'enfant où tes doigts se font piquer par une bouche d'alligator bricolée si tu appuies sur la mauvaise dent. Jouet rare de nos jours, car la dernière usine qui en produisait à Bloodcity Bay a fermé après la vente, tout à fait légale bien sûr, d'un nombre anormal d'exemplaires hantés dans toute la Côte.",,"Alligator Picker - jeu d'enfant où tes doigts se font piquer par une bouche d'alligator bricolée si tu appuies sur la mauvaise dent. Jouet rare de nos jours, car la dernière usine qui en produisait à Bloodcity Bay a fermé après la vente, tout à fait légale bien sûr, d'un nombre anormal d'exemplaires hantés dans toute la Côte."
193,INT,"Esoterics, History",15,Fillius Prax - magocrate et Arcaniste du plus haut rang. Il dirigea l'un des empires autocratiques les plus durables du Vieux Diminor et fonda la Maison Prax. Surtout tristement célèbre pour avoir créé les Terres maudites.,,Fillius Prax - magocrate et Arcaniste du plus haut rang. Il dirigea l'un des empires autocratiques les plus durables du Vieux Diminor et fonda la Maison Prax. Surtout tristement célèbre pour avoir créé les Terres maudites.
194,INT,"Esoterics, Geography",14,"Terres maudites - cinquante mille miles carrés, maudits pour rester à jamais un portail ésotérique vers un plan d'énergie négative pure. Pour donner l'échelle, c'est à peu près la taille de tout le territoire aujourd'hui détenu par la cité-État de Norvik.",,"Terres maudites - cinquante mille miles carrés, maudits pour rester à jamais un portail ésotérique vers un plan d'énergie négative pure. Pour donner l'échelle, c'est à peu près la taille de tout le territoire aujourd'hui détenu par la cité-État de Norvik."
195,CHA,Politics,13,"Hédonistes - groupe tristement célèbre d'activistes et d'anarchistes apparu vers la fin de la Guerre de la Côte. Ils défendent... quelque chose, probablement. On les connaît surtout pour avoir déclenché des émeutes et joué avec des forces démoniaques.",tw,"Hédonistes - groupe tristement célèbre d'activistes et d'anarchistes apparu vers la fin de la Guerre de la Côte. Ils défendent... quelque chose, probablement. On les connaît surtout pour avoir déclenché des émeutes et joué avec des forces démoniaques."
196,INT,Politics,13,"Hédonistes - mouvement anarchiste né vers la fin de la Guerre de la Côte. Ils traitèrent avec des forces abyssales et publièrent, d'une manière ou d'une autre, ""Les Hédonistes"", un livret d'instructions qui circula sur toute la Côte.",,"Hédonistes - mouvement anarchiste né vers la fin de la Guerre de la Côte. Ils traitèrent avec des forces abyssales et publièrent, d'une manière ou d'une autre, ""Les Hédonistes"", un livret d'instructions qui circula sur toute la Côte."
197,INT,Spells,15,Fouet épineux - tour de magie de transmutation offensif. Souvent utilisé par les druides comme attaque magique à moyenne portée. Il est connu pour mettre les cibles en pièces lorsqu'il est manié par un lanceur assez puissant.,,Fouet épineux - tour de magie de transmutation offensif. Souvent utilisé par les druides comme attaque magique à moyenne portée. Il est connu pour mettre les cibles en pièces lorsqu'il est manié par un lanceur assez puissant.
198,CHA,Esoterics,13,"Hurleur - type de barde de Vourgeni, connu pour hurler des sorts à travers les vallées et les paysages flottants.",,"Hurleur - type de barde de Vourgeni, connu pour hurler des sorts à travers les vallées et les paysages flottants."
199,INT,Esoterics,13,"Présence terrifiante - certaines créatures puissantes possèdent des auras qui inspirent la peur à ceux qui se trouvent près d'elles. Échouer signifie succomber à une terreur aveugle, avec d'autres effets agaçants.",,"Présence terrifiante - certaines créatures puissantes possèdent des auras qui inspirent la peur à ceux qui se trouvent près d'elles. Échouer signifie succomber à une terreur aveugle, avec d'autres effets agaçants."
200,INT,Spells,8,Rayon de givre - tour de magie d'évocation. Couramment utilisé pour des frappes offensives à distance ainsi que pour d'autres fonctions plus utilitaires. Tu n'as jamais aimé. Tes doigts devenaient trop froids.,,Rayon de givre - tour de magie d'évocation. Couramment utilisé pour des frappes offensives à distance ainsi que pour d'autres fonctions plus utilitaires. Tu n'as jamais aimé. Tes doigts devenaient trop froids.
201,INT,"City, Language",9,"RL - abréviation courante de ""Réflexion lumineuse"", méthode de capture d'image utilisant simultanément le tour de magie Miroir et le tour de magie Lumière afin de marquer une surface avec une représentation visuelle parfaite de ce que reflète le miroir. Alternative populaire et bon marché aux peintures.",,"RL - abréviation courante de ""Réflexion lumineuse"", méthode de capture d'image utilisant simultanément le tour de magie Miroir et le tour de magie Lumière afin de marquer une surface avec une représentation visuelle parfaite de ce que reflète le miroir. Alternative populaire et bon marché aux peintures."
202,CHA,"City, Language",9,RL - peintures magiques. Ont l'air super réalistes. Très populaires ces temps-ci.,,RL - peintures magiques. Ont l'air super réalistes. Très populaires ces temps-ci.
203,INT,History,14,Soie d'Ym - fils tissés par les insaisissables araignées géantes incorporelles des forêts-terriers ymiennes. Matériau utile dans toutes sortes de contextes industriels.,,Soie d'Ym - fils tissés par les insaisissables araignées géantes incorporelles des forêts-terriers ymiennes. Matériau utile dans toutes sortes de contextes industriels.
204,CHA,Nature,7,Sex - six en nain. Ne cesse jamais d'être drôle.,,Sex - six en nain. Ne cesse jamais d'être drôle.
205,CON,Nature,11,Sexe - mécanisme de survie de tous les peuples mortels.,,Sexe - mécanisme de survie de tous les peuples mortels.
206,INT,Nature,13,Sexe - trait qui détermine si un organisme à reproduction sexuée appartient à la moitié mâle ou femelle de la reproduction. Aussi une distraction inutile.,,Sexe - trait qui détermine si un organisme à reproduction sexuée appartient à la moitié mâle ou femelle de la reproduction. Aussi une distraction inutile.
207,STR,Nature,15,Sexe - dualité de l'homme. Pécher. Être père. Vivre. Se reproduire au nom d'Urth.,,Sexe - dualité de l'homme. Pécher. Être père. Vivre. Se reproduire au nom d'Urth.
208,WIS,Nature,14,Sexe - belle union entre ceux qui portent le fardeau de la vie sur leur âme.,,Sexe - belle union entre ceux qui portent le fardeau de la vie sur leur âme.
209,DEX,Nature,9,Sexe - amusant !,,Sexe - amusant !
210,INT,Esoterics,10,"Galet de Message - objet magique capable de lancer une version faible du sort Message, n'atteignant que les cibles situées dans un rayon d'un kilomètre. Comme il ne nécessite pas d'objet magique récepteur, contrairement à une Pierre de Message ordinaire, il est extrêmement cher et rare.",,"Galet de Message - objet magique capable de lancer une version faible du sort Message, n'atteignant que les cibles situées dans un rayon d'un kilomètre. Comme il ne nécessite pas d'objet magique récepteur, contrairement à une Pierre de Message ordinaire, il est extrêmement cher et rare."
211,INT,Spells,14,Torsion de masse - sort de transmutation de quatrième niveau. Célèbre comme l'une des formes de magie les plus horribles employées pendant la Guerre de la Côte. Il provoque une torsion de chaque testicule dans un rayon de 100 pieds. Il est interdit par le Ting de Holswyth de 501 EA.,,Torsion de masse - sort de transmutation de quatrième niveau. Célèbre comme l'une des formes de magie les plus horribles employées pendant la Guerre de la Côte. Il provoque une torsion de chaque testicule dans un rayon de 100 pieds. Il est interdit par le Ting de Holswyth de 501 EA.
212,CHA,Spells,8,"Torsion de masse - sort tristement célèbre qui fait se tordre, tourner et... se crisper tous les testicules alentour. C'est horrible.",,"Torsion de masse - sort tristement célèbre qui fait se tordre, tourner et... se crisper tous les testicules alentour. C'est horrible."
213,INT,"History, Politics",10,"Ting de Holswyth - convention organisée la première année de chaque décennie pour faciliter le commerce, la coopération internationale et les accords. Elle se tient dans le Méga-Château de Holswyth, sur la Côte de Vourgeni.",,"Ting de Holswyth - convention organisée la première année de chaque décennie pour faciliter le commerce, la coopération internationale et les accords. Elle se tient dans le Méga-Château de Holswyth, sur la Côte de Vourgeni."
214,INT,Geography,10,"Holswyth - ville fondée dans l'enceinte d'un immense château de l'Ère des Portes, penché au-dessus de la Côte. Connue pour le Ting de Holswyth, c'est essentiellement une ville bâtie à partir d'une série complexe d'ambassades et d'industries gnomes.",,"Holswyth - ville fondée dans l'enceinte d'un immense château de l'Ère des Portes, penché au-dessus de la Côte. Connue pour le Ting de Holswyth, c'est essentiellement une ville bâtie à partir d'une série complexe d'ambassades et d'industries gnomes."
215,CHA,"Language, City",8,"Cité d'En Bas - abréviation de ""La Cité sous la Cité"". Expression utilisée pour décrire l'incroyable quantité de tunnels et de ruines sous Norvik. Beaucoup de monstres et de trucs là-dessous. Aussi des richesses, si tu descends assez profond.",,"Cité d'En Bas - abréviation de ""La Cité sous la Cité"". Expression utilisée pour décrire l'incroyable quantité de tunnels et de ruines sous Norvik. Beaucoup de monstres et de trucs là-dessous. Aussi des richesses, si tu descends assez profond."
216,INT,"Language, Esoterics",10,"Monstre - abréviation de Monstruosité. Défini comme une créature non consciente née de moyens magiques, souvent en combinant diverses bêtes naturelles, ou issue de malédictions ou d'événements ésotériques.",,"Monstre - abréviation de Monstruosité. Défini comme une créature non consciente née de moyens magiques, souvent en combinant diverses bêtes naturelles, ou issue de malédictions ou d'événements ésotériques."
217,CHA,Language,13,"Juridiquais - pas une vraie langue, mais plutôt une façon de communiquer des concepts juridiques, souvent dans des documents et contrats.",,"Juridiquais - pas une vraie langue, mais plutôt une façon de communiquer des concepts juridiques, souvent dans des documents et contrats."
218,INT,"Geography, Nature",11,"Saisons - chaque bande a ses propres règles pour le changement des saisons. Aux jours précis, le temps est censé changer brutalement et immédiatement. Mais tu n'as jamais vécu une telle bascule de ton vivant.",,"Saisons - chaque bande a ses propres règles pour le changement des saisons. Aux jours précis, le temps est censé changer brutalement et immédiatement. Mais tu n'as jamais vécu une telle bascule de ton vivant."
219,INT,City,8,"La Cité sous la Cité - vastes ruines situées sous Norvik. La plupart la définissent comme les parties de la ville pas encore civilisées, même s'il existe une définition légale propre à chaque district.",,"La Cité sous la Cité - vastes ruines situées sous Norvik. La plupart la définissent comme les parties de la ville pas encore civilisées, même s'il existe une définition légale propre à chaque district."
220,WIS,Religion,6,"Trépas d'Urth - le jour où ton dieu mourut. Quand tu étais petit, Norvik célébrait cela avec ferveur, car beaucoup de fanatiques croyaient qu'il reviendrait s'ils organisaient un festin vraiment légendaire.",,"Trépas d'Urth - le jour où ton dieu mourut. Quand tu étais petit, Norvik célébrait cela avec ferveur, car beaucoup de fanatiques croyaient qu'il reviendrait s'ils organisaient un festin vraiment légendaire."
221,CHA,Religion,10,"Trépas d'Urth - boissons et festins, en famille et entre amis. Sert surtout à ignorer les ténèbres de l'hiver dehors.",,"Trépas d'Urth - boissons et festins, en famille et entre amis. Sert surtout à ignorer les ténèbres de l'hiver dehors."
222,WIS,Religion,9,"Jeûne de Tûk - en souvenir des tribulations des Urthfolks, dans le Vieux Diminor, un festin est organisé. Les plus dévots s'abstiendraient de nourriture pendant trente-six heures en préparation.",,"Jeûne de Tûk - en souvenir des tribulations des Urthfolks, dans le Vieux Diminor, un festin est organisé. Les plus dévots s'abstiendraient de nourriture pendant trente-six heures en préparation."
223,WIS,Religion,10,"Grande Migration - jour où les Urthfolks arrivèrent pour la première fois sur les rivages askanii. Souvent célébré en nettoyant et préparant les bateaux pour la première rupture de la glace. Mais comme il ne fait plus aussi froid qu'avant en mars, les gens partent souvent pêcher pour célébrer.",,"Grande Migration - jour où les Urthfolks arrivèrent pour la première fois sur les rivages askanii. Souvent célébré en nettoyant et préparant les bateaux pour la première rupture de la glace. Mais comme il ne fait plus aussi froid qu'avant en mars, les gens partent souvent pêcher pour célébrer."
224,WIS,Religion,11,"Nuit de sang - fête solennelle, généralement passée à visiter les tombes des proches, surtout des soldats tombés. Chaque jour de la semaine, tu es censé prier pour un soldat tombé différent.",,"Nuit de sang - fête solennelle, généralement passée à visiter les tombes des proches, surtout des soldats tombés. Chaque jour de la semaine, tu es censé prier pour un soldat tombé différent."
225,WIS,Religion,12,"Septième Silence - lors de la septième Nuit de sang, tu es censé rester silencieux et ne causer aucun problème, car les rues de Norvik sont remplies des fantômes des morts. Bien sûr, la plupart des enfants adorent interagir avec les fantômes inoffensifs et passent généralement toute la soirée à jouer avec les esprits.",,"Septième Silence - lors de la septième Nuit de sang, tu es censé rester silencieux et ne causer aucun problème, car les rues de Norvik sont remplies des fantômes des morts. Bien sûr, la plupart des enfants adorent interagir avec les fantômes inoffensifs et passent généralement toute la soirée à jouer avec les esprits."
226,WIS,Religion,7,Course du fleuve - de bons plats et des écrevisses fraîches du fleuve Torna sont servis lors de divers rassemblements. Les enfants sont censés courir ou pédaler le long du fleuve pendant que les navires font la course.,,Course du fleuve - de bons plats et des écrevisses fraîches du fleuve Torna sont servis lors de divers rassemblements. Les enfants sont censés courir ou pédaler le long du fleuve pendant que les navires font la course.
227,WIS,Religion,8,"Couronne du géant - grande bataille simulée organisée dans les champs au nord de Norvik, où les duels de gladiateurs mènent à la gloire et où la lutte dans la boue donne au peuple une activité amusante à regarder.",,"Couronne du géant - grande bataille simulée organisée dans les champs au nord de Norvik, où les duels de gladiateurs mènent à la gloire et où la lutte dans la boue donne au peuple une activité amusante à regarder."
228,WIS,Religion,10,Fête du peuple - grande célébration pendant le court été askanii. De nombreux animaux sont abattus et beaucoup de douceurs sont cuites pour cette fête annuelle. Elle a lieu le plus long jour du soleil askanii.,,Fête du peuple - grande célébration pendant le court été askanii. De nombreux animaux sont abattus et beaucoup de douceurs sont cuites pour cette fête annuelle. Elle a lieu le plus long jour du soleil askanii.
229,WIS,Religion,12,"Danse de Tol - fête des amants et des jeunes, qui se retrouvent dans divers champs hors de la ville pour danser toute la nuit. Tu n'as jamais été invité à l'une d'elles.",,"Danse de Tol - fête des amants et des jeunes, qui se retrouvent dans divers champs hors de la ville pour danser toute la nuit. Tu n'as jamais été invité à l'une d'elles."
230,WIS,Religion,9,"Veille du phénix - exactement vingt-huit jours avant l'automne askanii, un phénix passe au-dessus de Norvik en allant vers l'intérieur des terres. Pendant une heure, sa lumière intense change la nuit en jour.",,"Veille du phénix - exactement vingt-huit jours avant l'automne askanii, un phénix passe au-dessus de Norvik en allant vers l'intérieur des terres. Pendant une heure, sa lumière intense change la nuit en jour."
231,WIS,Religion,12,"Flamme de Torna - pour tenir les ténèbres de l'automne à distance, un grand bûcher est placé sur un drakkar et allumé à Norvik. Il est ensuite envoyé vers le nord sur le fleuve Torna, où il est rallumé dans chaque grande colonie au cours des semaines suivantes.",,"Flamme de Torna - pour tenir les ténèbres de l'automne à distance, un grand bûcher est placé sur un drakkar et allumé à Norvik. Il est ensuite envoyé vers le nord sur le fleuve Torna, où il est rallumé dans chaque grande colonie au cours des semaines suivantes."
232,WIS,Religion,12,L'Ascension - fête naine célébrée par tous à Norvik. Les familles sont censées inviter leurs voisins pour célébrer et pleurer l'expulsion d'Azgal de son royaume souterrain.,,L'Ascension - fête naine célébrée par tous à Norvik. Les familles sont censées inviter leurs voisins pour célébrer et pleurer l'expulsion d'Azgal de son royaume souterrain.
233,WIS,Religion,10,"Nuit des lumières de robe - avant que ne commencent l'obscurité éternelle et le froid intense de l'hiver askanii, un groupe de femmes est choisi à Norvik pour accomplir une série de chants sur les rives du fleuve Torna. On dit qu'autrefois, ces femmes étaient autorisées à marcher sur l'eau et à traverser le fleuve grâce à leur amour d'Urth.",,"Nuit des lumières de robe - avant que ne commencent l'obscurité éternelle et le froid intense de l'hiver askanii, un groupe de femmes est choisi à Norvik pour accomplir une série de chants sur les rives du fleuve Torna. On dit qu'autrefois, ces femmes étaient autorisées à marcher sur l'eau et à traverser le fleuve grâce à leur amour d'Urth."
234,STR,City,13,La Cité sous la Cité - donjons et cavernes sous Norvik encore à conquérir par les Urthfolks. Tu verras sûrement toute sa gloire et tous ses trésors revenir au peuple élu.,,La Cité sous la Cité - donjons et cavernes sous Norvik encore à conquérir par les Urthfolks. Tu verras sûrement toute sa gloire et tous ses trésors revenir au peuple élu.
235,INT,Esoterics,8,Potion - toute substance magique ingérée pour des effets temporaires.,,Potion - toute substance magique ingérée pour des effets temporaires.
236,CHA,Politics,14,Peuple élu - terme nationaliste pour les Urthfolks. Surtout utilisé par les amoureux d'Urth et les jeunes hommes qui veulent sentir qu'ils ne sont pas seulement des idiots exploités dans un système contrôlé par les Libre-Marcheurs.,,Peuple élu - terme nationaliste pour les Urthfolks. Surtout utilisé par les amoureux d'Urth et les jeunes hommes qui veulent sentir qu'ils ne sont pas seulement des idiots exploités dans un système contrôlé par les Libre-Marcheurs.
237,CHA,Language,11,"Skateur - personne participant à l'acte dangereux de voyager sur une planche de bois. Mode stupide, et plutôt stylée.",,"Skateur - personne participant à l'acte dangereux de voyager sur une planche de bois. Mode stupide, et plutôt stylée."
238,STR,City,9,Quête - tâche accomplie par un individu héroïque et/ou un aventurier professionnel.,,Quête - tâche accomplie par un individu héroïque et/ou un aventurier professionnel.
239,INT,History,17,"Tribu compagnonnique - clan pseudo-nomade d'orcs spécialisés dans un artisanat précis. Chacun retrace ses racines jusqu'au service de la Reine-Mère Laghbetta, qui dota leur ascendance d'une compréhension magique spécifique dudit artisanat.",,"Tribu compagnonnique - clan pseudo-nomade d'orcs spécialisés dans un artisanat précis. Chacun retrace ses racines jusqu'au service de la Reine-Mère Laghbetta, qui dota leur ascendance d'une compréhension magique spécifique dudit artisanat."
240,INT,History,14,Laghbetta - Reine-Mère des Orcs de sang. Elle combattit Gorgorian pendant son règne et fut victorieuse. Son peuple règne encore sur de grandes parties de Fell Tire.,,Laghbetta - Reine-Mère des Orcs de sang. Elle combattit Gorgorian pendant son règne et fut victorieuse. Son peuple règne encore sur de grandes parties de Fell Tire.
241,INT,History,10,"Révolution industrielle - période de changements technologiques, ésotériques et sociaux rapides qui commença dans le Vieux Diminor entre 270 et 340 EA. Elle marqua le passage d'économies agraires, magiques et artisanales à une production industrialisée et mécanisée. Cette transformation révolutionna la manufacture, le transport et la vie urbaine, jetant les bases du monde industriel moderne.",,"Révolution industrielle - période de changements technologiques, ésotériques et sociaux rapides qui commença dans le Vieux Diminor entre 270 et 340 EA. Elle marqua le passage d'économies agraires, magiques et artisanales à une production industrialisée et mécanisée. Cette transformation révolutionna la manufacture, le transport et la vie urbaine, jetant les bases du monde industriel moderne."
242,CHA,History,10,Frukk Framm - célèbre industriel du textile et extraordinaire tapis magique. Devint très célèbre pendant l'Ère arcanique.,,Frukk Framm - célèbre industriel du textile et extraordinaire tapis magique. Devint très célèbre pendant l'Ère arcanique.
243,DEX,Skills,9,"Câlin de porte - technique souvent utilisée par les voleurs magiques. Elle consiste à lancer Porte dimensionnelle, un sort qui téléporte le lanceur et une autre cible dans n'importe quelle direction, assez loin. De nombreux casses ont été réussis ainsi, surtout à l'Ère arcanique.",,"Câlin de porte - technique souvent utilisée par les voleurs magiques. Elle consiste à lancer Porte dimensionnelle, un sort qui téléporte le lanceur et une autre cible dans n'importe quelle direction, assez loin. De nombreux casses ont été réussis ainsi, surtout à l'Ère arcanique."
